Nr.;Tag;Datum;Heim;Gast;Spielhalle;Schiedsrichter
5;1;21.09.2024 14:00;BG Aachen;DJK Frankenberg 2;Schulzentrum Laurensberg (Halle 1);
7;2;28.09.2024 14:00;DJK Frankenberg 2;TV Grafenberg;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2*** ****
15;3;05.10.2024 15:00;TG Neuss 2;DJK Frankenberg 2;Elmar-Frings-Sporthalle;SR1Dr. Martin Creutz
;;;;;;SR2*** ****
19;4;02.11.2024 16:00;DJK Frankenberg 2;BG Shots Kaarst-Büttgen;Einhard-Gymnasium (Halle 1);SR1Aziz Firat Gözkaman
;;;;;;SR2*** ****
30;5;07.11.2024 19:30;SG Herzogenrath/Baesweiler;DJK Frankenberg 2;Schulzentrum Herzogenrath (Querfeld);SR1*** ****
;;;;;;SR2*** ****
31;6;16.11.2024 15:30;DJK Frankenberg 2;ASG Elsdorf;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2Daniel Homolka
40;7;30.11.2024 16:00;Mettmann-Sport;DJK Frankenberg 2;Sporthalle der Kreisberufsschule;SR1*** ****
;;;;;;SR2Kyle Jerz
43;8;07.12.2024 16:00;DJK Frankenberg 2;TG Neuss 3;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2*** ****
50;9;14.12.2024 14:00;Capitol Bascats Düsseldorf 2;DJK Frankenberg 2;wekita Sportarena;SR1Dr. Martin Creutz
;;;;;;SR2Guido Radtke
55;10;21.12.2024 18:00;HSV Solingen-Gräfrath;DJK Frankenberg 2;Sporthalle Kannenhof (neu);
61;11;18.01.2025 14:00;DJK Frankenberg 2;TuS Hilden;Einhard-Gymnasium (Halle 1);
71;12;25.01.2025 14:00;DJK Frankenberg 2;BG Aachen;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2*** ****
73;13;01.02.2025 16:00;TV Grafenberg;DJK Frankenberg 2;Sporthalle Lessing-Gymnasium;SR1Aykut Kursuntel
;;;;;;SR2Christian Stamnas
81;14;08.02.2025 14:00;DJK Frankenberg 2;TG Neuss 2;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2*** ****
85;15;16.02.2025 18:00;BG Shots Kaarst-Büttgen;DJK Frankenberg 2;Aldegundis-Halle (Bezirkssportanlage Büttgen);SR1*** ****
;;;;;;SR2*** ****
96;16;22.02.2025 14:00;DJK Frankenberg 2;SG Herzogenrath/Baesweiler;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2Alexander Rabe
97;17;09.03.2025 15:00;ASG Elsdorf;DJK Frankenberg 2;TH der Grundschule Esch;SR1Nicole Kompa
;;;;;;SR2*** ****
106;18;15.03.2025 16:00;DJK Frankenberg 2;Mettmann-Sport;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2*** ****
109;19;23.03.2025 16:00;TG Neuss 3;DJK Frankenberg 2;Elmar-Frings-Sporthalle;SR1Alexander Grütter
;;;;;;SR2*** ****
116;20;29.03.2025 20:00;DJK Frankenberg 2;Capitol Bascats Düsseldorf 2;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2Daniel Homolka
121;21;05.04.2025 14:00;DJK Frankenberg 2;HSV Solingen-Gräfrath;Einhard-Gymnasium (Halle 1);
127;22;13.04.2025 14:00;TuS Hilden;DJK Frankenberg 2;SH Am Bandsbusch (Bezirkssportanlage);
