Nr.;Tag;Datum;Heim;Gast;Spielhalle;Schiedsrichter
41;9;28.09.2024 20:00;DJK Frankenberg 3;BG Aachen 2;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2*** ****
4;1;06.10.2024 15:30;Pulheimer SC;DJK Frankenberg 3;SH am Gymnasium;SR1Anita Raposo
;;;;;;SR2Felipe Kriegel
6;2;02.11.2024 14:00;DJK Frankenberg 3;TS Frechen;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2Michael Schwartz
12;3;10.11.2024 18:00;Brander TV Aachen;DJK Frankenberg 3;Einfachturnhalle Brander Feld;
16;4;12.11.2024 19:30;DJK Frankenberg 3;TV Blatzheim;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2Ralf Rübben
24;5;01.12.2024 16:00;1. BBC Düren;DJK Frankenberg 3;Schulzentrum des Kreises Düren;
26;6;07.12.2024 14:00;DJK Frankenberg 3;TuS Zülpich;Einhard-Gymnasium (Halle 1);SR1Peter Vaeßen
;;;;;;SR2*** ****
32;7;14.12.2024 17:00;Haarener TE;DJK Frankenberg 3;Geschwister-Scholl-Gymnasium (obere Halle);SR1Daniel Homolka
;;;;;;SR2*** ****
36;8;20.01.2025 19:30;BTV Basketball Brühl 2;DJK Frankenberg 3;BTV - Sportzentrum (Halle 2);SR1*** ****
;;;;;;SR2*** ****
86;18;02.02.2025 16:00;BG Aachen 2;DJK Frankenberg 3;Schulzentrum Laurensberg (Halle 1);SR1Daniel Homolka
;;;;;;SR2*** ****
49;10;08.02.2025 20:00;DJK Frankenberg 3;Pulheimer SC;Einhard-Gymnasium (Halle 1);SR1Michael Schwartz
;;;;;;SR2Tim Schönfelder
51;11;16.02.2025 16:00;TS Frechen;DJK Frankenberg 3;SH Rotdornweg (Nähe Gymnasium);SR1*** ****
;;;;;;SR2*** ****
57;12;22.02.2025 20:00;DJK Frankenberg 3;Brander TV Aachen;Einhard-Gymnasium (Halle 1);
61;13;09.03.2025 18:00;TV Blatzheim;DJK Frankenberg 3;Mehrzweck-SH Blatzheim;
69;14;15.03.2025 14:00;DJK Frankenberg 3;1. BBC Düren;Einhard-Gymnasium (Halle 1);
71;15;21.03.2025 20:30;TuS Zülpich;DJK Frankenberg 3;Städt. SH Blayer Str. (Dreifachhalle);SR1*** ****
;;;;;;SR2*** ****
77;16;29.03.2025 14:00;DJK Frankenberg 3;Haarener TE;Einhard-Gymnasium (Halle 1);SR1*** ****
;;;;;;SR2*** ****
81;17;08.04.2025 19:30;DJK Frankenberg 3;BTV Basketball Brühl 2;Einhard-Gymnasium (Halle 1);SR1Max Jakobs
;;;;;;SR2*** ****
